ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2025-01-03T10:30:01.001613457Z,2025-01-03T10:30:01.001447228Z,10,2,16244,C,A,3,383.070000000,21,130,166229,4826737,382.710000000,382.920000000,10,50,1,1,382.680000000,382.990000000,41,1,2,1,382.230000000,383.000000000,25,31,1,2,382.110000000,383.080000000,300,1,1,1,382.100000000,383.090000000,20,6,2,1,382.010000000,383.100000000,2,12,1,2,382.000000000,383.200000000,1192,500,10,1,381.900000000,383.300000000,23,120,1,3,381.880000000,383.420000000,10,140,1,1,381.800000000,383.600000000,12,1000,1,2,TSLA
2025-01-03T10:30:01.009117027Z,2025-01-03T10:30:01.008951262Z,10,2,17709,C,A,2,107.960000000,16,130,165765,4826743,107.640000000,107.880000000,100,400,1,2,107.600000000,107.950000000,50,10,1,1,107.000000000,108.000000000,1,150,1,2,106.240000000,108.300000000,28,50,1,1,106.000000000,108.550000000,15,50,2,1,105.870000000,108.800000000,141,50,1,1,103.180000000,108.880000000,16,28,1,1,103.000000000,109.450000000,3,137,1,1,102.000000000,109.500000000,2,100,1,1,101.000000000,111.000000000,1,10,1,1,XOM
2025-01-03T10:30:01.009205035Z,2025-01-03T10:30:01.009038910Z,10,2,17709,A,B,0,107.660000000,16,130,166125,4826744,107.660000000,107.880000000,16,400,1,2,107.640000000,107.950000000,100,10,1,1,107.600000000,108.000000000,50,150,1,2,107.000000000,108.300000000,1,50,1,1,106.240000000,108.550000000,28,50,1,1,106.000000000,108.800000000,15,50,2,1,105.870000000,108.880000000,141,28,1,1,103.180000000,109.450000000,16,137,1,1,103.000000000,109.500000000,3,100,1,1,102.000000000,111.000000000,2,10,1,1,XOM
2025-01-03T10:30:01.009259392Z,2025-01-03T10:30:01.009092878Z,10,2,17709,A,A,1,107.940000000,15,130,166514,4826745,107.660000000,107.880000000,16,400,1,2,107.640000000,107.940000000,100,15,1,1,107.600000000,107.950000000,50,10,1,1,107.000000000,108.000000000,1,150,1,2,106.240000000,108.300000000,28,50,1,1,106.000000000,108.550000000,15,50,2,1,105.870000000,108.800000000,141,50,1,1,103.180000000,108.880000000,16,28,1,1,103.000000000,109.450000000,3,137,1,1,102.000000000,109.500000000,2,100,1,1,XOM
2025-01-03T10:30:01.017374349Z,2025-01-03T10:30:01.017208582Z,10,2,17709,C,B,0,107.660000000,16,130,165767,4826757,107.640000000,107.880000000,100,400,1,2,107.600000000,107.940000000,50,15,1,1,107.000000000,107.950000000,1,10,1,1,106.240000000,108.000000000,28,150,1,2,106.000000000,108.300000000,15,50,2,1,105.870000000,108.550000000,141,50,1,1,103.180000000,108.800000000,16,50,1,1,103.000000000,108.880000000,3,28,1,1,102.000000000,109.450000000,2,137,1,1,101.000000000,109.500000000,1,100,1,1,XOM
2025-01-03T10:30:01.025224499Z,2025-01-03T10:30:01.025057247Z,10,2,9155,T,N,0,242.080000000,11,130,167252,4826762,242.020000000,242.400000000,120,485,1,1,242.000000000,242.460000000,200,8,1,1,241.670000000,242.850000000,2,300,1,2,241.000000000,242.900000000,100,100,1,1,240.000000000,243.000000000,10,92,1,2,238.000000000,243.310000000,30,10,1,1,236.000000000,243.700000000,6,100,1,1,235.500000000,246.810000000,5,100,1,1,235.000000000,262.740000000,5,100,1,1,232.880000000,263.830000000,1,100,1,1,JPM
2025-01-03T10:30:01.025248906Z,2025-01-03T10:30:01.025082524Z,10,2,9155,A,A,0,242.240000000,1,130,166382,4826763,242.020000000,242.240000000,120,1,1,1,242.000000000,242.400000000,200,485,1,1,241.670000000,242.460000000,2,8,1,1,241.000000000,242.850000000,100,300,1,2,240.000000000,242.900000000,10,100,1,1,238.000000000,243.000000000,30,92,1,2,236.000000000,243.310000000,6,10,1,1,235.500000000,243.700000000,5,100,1,1,235.000000000,246.810000000,5,100,1,1,232.880000000,262.740000000,1,100,1,1,JPM
2025-01-03T10:30:01.027152499Z,2025-01-03T10:30:01.026986621Z,10,2,9155,C,A,0,242.240000000,1,130,165878,4826764,242.020000000,242.400000000,120,485,1,1,242.000000000,242.460000000,200,8,1,1,241.670000000,242.850000000,2,300,1,2,241.000000000,242.900000000,100,100,1,1,240.000000000,243.000000000,10,92,1,2,238.000000000,243.310000000,30,10,1,1,236.000000000,243.700000000,6,100,1,1,235.500000000,246.810000000,5,100,1,1,235.000000000,262.740000000,5,100,1,1,232.880000000,263.830000000,1,100,1,1,JPM
2025-01-03T10:30:01.031226209Z,2025-01-03T10:30:01.031059483Z,10,2,17709,C,B,0,107.640000000,100,130,166726,4826770,107.600000000,107.880000000,50,400,1,2,107.000000000,107.940000000,1,15,1,1,106.240000000,107.950000000,28,10,1,1,106.000000000,108.000000000,15,150,2,2,105.870000000,108.300000000,141,50,1,1,103.180000000,108.550000000,16,50,1,1,103.000000000,108.800000000,3,50,1,1,102.000000000,108.880000000,2,28,1,1,101.000000000,109.450000000,1,137,1,1,100.880000000,109.500000000,36,100,1,1,XOM
2025-01-03T10:30:01.031237547Z,2025-01-03T10:30:01.031071265Z,10,2,17709,A,B,1,107.580000000,100,130,166282,4826771,107.600000000,107.880000000,50,400,1,2,107.580000000,107.940000000,100,15,1,1,107.000000000,107.950000000,1,10,1,1,106.240000000,108.000000000,28,150,1,2,106.000000000,108.300000000,15,50,2,1,105.870000000,108.550000000,141,50,1,1,103.180000000,108.800000000,16,50,1,1,103.000000000,108.880000000,3,28,1,1,102.000000000,109.450000000,2,137,1,1,101.000000000,109.500000000,1,100,1,1,XOM
